Distro,12 months,6 months,3 months,1 month
MX Linux,3959,3413,3407,3464
Manjaro,2713,2341,2451,2532
Mint,2355,2094,1948,1987
Ubuntu,1610,1378,1410,1271
Debian,1435,1246,1258,1297
Pop!_OS,1400,1821,2204,2242
elementary,1337,1133,1109,1129
Solus,1073,863,785,771
Fedora,1028,966,1070,908
Zorin,913,730,674,612
KDE neon,889,796,760,642
deepin,834,680,676,507
openSUSE,740,753,725,750
EndeavourOS,727,877,1024,1085
antiX,706,567,588,517
Arch,702,639,622,603
Ubuntu Kylin,689,711,770,774
CentOS,640,551,558,693
ArcoLinux,589,484,507,687
PCLinuxOS,568,461,470,395
Kali,529,468,471,579
Puppy,506,486,561,459
Lite,475,417,474,358
EasyOS,434,392,370,621
SparkyLinux,425,385,389,346
Linuxfx,419,647,603,585
FreeBSD,415,417,482,344
Peppermint,410,340,342,326
Lubuntu,396,346,362,328
Tails,367,323,309,321
Q4OS,362,333,339,468
Mageia,343,395,359,406
Xubuntu,335,297,315,261
Slackware,334,309,310,320
Kubuntu,331,294,309,272
ReactOS,322,239,231,217
Parrot,303,285,244,256
Android-x86,300,229,226,220
Endless,297,280,296,305
Devuan,293,258,246,251
Archman,292,237,244,387
Alpine,284,233,255,252
Ubuntu MATE,282,254,269,260
Void,282,257,259,265
Bluestar,262,266,267,289
Gentoo,255,238,240,240
GhostBSD,254,232,229,329
KaOS,247,249,276,258
PureOS,243,231,234,251
Feren,242,202,236,256
Bodhi,236,195,191,186
4MLinux,230,224,228,174
NixOS,221,228,282,206
Red Hat,214,189,190,194
Nitrux,210,198,175,199
Voyager,210,212,234,148
Artix,207,230,216,212
ClearOS,204,175,176,175
KNOPPIX,196,178,182,183
OpenMandriva,196,144,112,116
Ultimate,195,197,204,159
Ubuntu Budgie,193,165,175,129
Kodachi,191,188,231,214
AV Linux,188,166,225,433
BunsenLabs,188,218,163,162
LXLE,188,167,173,172
Tiny Core,188,152,152,155
Emmabuntüs,187,173,175,123
Simplicity,184,113,101,90
ALT,182,177,150,150
Absolute,181,205,203,152
Haiku,181,178,162,158
BlackArch,180,151,179,281
Clear,180,133,129,128
Qubes,179,155,182,177
Robolinux,178,176,105,98
OpenBSD,174,163,182,146
Ubuntu Studio,173,157,173,136
