,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
0,2018,0,Chevrolet Malibu LT w/ 1LT,18488.0,5,0,43008,10,27,36,63,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Summit White,White
1,2020,1,Lexus LS 500 AWD,73991.0,14,2,641,0,16,25,41,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,N/A,Liquid Platinum,N/A
2,2015,2,Dodge Challenger Scat Pack,33936.0,11,2,26827,5,15,25,40,1,1,1,2,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Black,Sublime Pearl Coat,Pearl
3,2018,2,Dodge Journey FWD Crossroad,18989.0,5,2,26562,5,17,25,42,1,1,1,0,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Bruiser Gray Clearcoat,Gray
4,2020,3,Ford Escape 4WD SEL,29858.0,10,1,7559,2,23,31,54,1,1,0,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Ebony,Desert Gold Metallic,Gold
5,2017,3,Ford Explorer 4WD XLT,26000.0,8,2,28770,6,16,23,39,1,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Ebony,Shadow Black,Black
6,2020,4,Hyundai Venue SEL,17319.0,4,2,5475,1,30,34,64,2,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Black Noir Pearl,Black
7,2017,5,Chrysler Pacifica Touring-L Plus,20579.0,6,1,90404,13,18,28,46,1,1,1,0,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Black,Billet Silver Metallic Clearcoat,Silver
8,2018,4,Hyundai Santa Fe AWD Sport,21895.0,6,2,11973,2,20,26,46,2,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Beige,Nightfall Blue,Blue
9,2020,4,Hyundai Tucson Limited,27995.0,9,2,3399,1,21,26,47,2,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Gemstone Red,Red
10,2020,4,Hyundai Santa Fe AWD SEL w/ Cargo Package,31900.0,11,2,3141,1,20,26,46,2,1,1,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Twilight Black,Black
11,2014,6,Volkswagen Jetta TDI Sedan,11397.0,2,2,69419,12,29,37,66,1,1,0,0,2,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Black,Black
12,2015,7,Honda Odyssey EX-L,20263.0,6,2,54291,11,19,27,46,1,1,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Gray,Black,Black
13,2018,8,GMC Sierra 1500 Denali,50350.0,14,2,7554,2,5,0,5,1,1,1,1,0,8-Cylinder,8,1,0,0,8-Speed Automatic,8,Black,N/A,N/A
14,2017,6,Volkswagen Passat 1.8T SE,15791.0,3,2,26309,5,23,34,57,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Reef Blue Metallic,Blue
15,2018,3,Ford EcoSport 4WD Titanium,18591.0,5,2,19079,3,23,29,52,1,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,Lightning Blue Metallic,Blue
16,2018,0,Chevrolet Equinox FWD LT w/ 1LT,18791.0,5,2,16105,3,26,32,58,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Pepperdust Metallic,Metallic
17,2017,9,Toyota Camry LE,18991.0,5,2,15816,3,0,0,0,1,1,0,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Gray,N/A,N/A
18,2017,3,Ford Escape 4WD Titanium,18991.0,5,2,26377,5,22,28,50,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Oxford White,White
19,2017,10,MAZDA CX-5 AWD Touring,20991.0,6,2,12198,2,23,29,52,1,0,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Soul Red Crystal Metallic,Red
20,2017,10,MAZDA CX-5 AWD Grand Touring,23991.0,7,2,20940,4,23,29,52,1,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,Soul Red Crystal Metallic,Red
21,2018,7,Honda Accord 1.5T Sport,23779.0,7,2,18640,3,30,38,68,2,1,1,0,0,4-Cylinder Turbo,4,1,1,0,Continuously Variable Automatic,0,Black,San Marino Red,Red
22,2019,7,Honda Civic Type R Hatchback,39481.0,12,2,1789,0,22,28,50,2,1,1,0,0,4-Cylinder Turbo,4,0,1,0,6-Speed Manual,6,Black,Championship White,White
23,2015,10,MAZDA MX-5 Miata Club Hard Top,16990.0,4,2,34926,8,21,27,48,1,1,0,2,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,Silver,Silver
24,2014,0,Chevrolet Corvette Stingray Coupe,38590.0,12,2,34047,8,16,27,43,1,1,0,2,0,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Black,Blue,Blue
25,2016,3,Ford C-MAX SEL,14731.0,3,2,22555,4,0,0,0,1,1,1,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,N/A,N/A,N/A
26,2017,1,Lexus CT 200h,21999.0,6,2,19392,4,0,0,0,1,0,1,0,3,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,White,N/A,N/A
27,2017,0,Chevrolet Camaro LT Coupe w/ 2LT,25648.0,8,2,10400,2,22,31,53,1,1,1,2,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Silver,Silver
28,2014,0,Chevrolet Impala LT,12990.0,2,0,112873,14,19,28,47,1,1,0,0,1,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Black,Champagne Silver Metallic,Silver
29,2015,0,Chevrolet Traverse FWD LT w/ 2LT,12995.0,2,2,114027,14,17,24,41,1,0,0,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,Silver Ice Metallic - Gray,Silver
