,0,1,2,3,4,5,6,7,8,9
0,Certified 2019 Ford Escape FWD S,"17,243","9,848",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,21 City / 29 Highway,Agate Black Metallic,Chromite Gray/Charcoal Black
2,Used 2017 Chevrolet Tahoe 4WD Premier,"43,990","69,880",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 22 Highway,Iridescent Pearl Tricoat,Cocoa/Dune W/Perforated Leathe
3,Certified 2018 Hyundai Santa Fe AWD Sport,"21,895","11,973",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 26 Highway,Nightfall Blue,Beige
4,Used 2018 Ford F150 XLT,"30,977","15,009",2 wheel drive - rear,8-Cylinder,10-Speed Automatic,Flexible Fuel,20 City / 25 Highway,Race Red,Medium Earth Gray
5,Used 2018 Dodge Challenger SRT Hellcat,"58,989","7,159",2 wheel drive - rear,8-Cylinder Supercharged,8-Speed Automatic,Gasoline,13 City / 22 Highway,Go Mango,Black
6,Used 2020 Ford F350 King Ranch,"78,989","6,527",4 wheel drive,8-Cylinder Turbo,10-Speed Automatic,Diesel,8',Information Unavailable,Star White Metallic Tri-Coat
7,Used 2015 Dodge Challenger Scat Pack,"33,936","26,827",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,15 City / 25 Highway,Sublime Pearl Coat,Black
8,Used 2016 Ford Mustang Coupe,"19,381","59,198",2 wheel drive - rear,4-Cylinder Turbo,6-Speed Shiftable Automatic,Gasoline,21 City / 31 Highway,Triple Yellow Tri-Coat,Ebony
9,Used 2019 Ford EcoSport 4WD S,"15,977","13,144",4 wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 29 Highway,Shadow Black,Medium Stone
10,Used 2018 MINI Cooper Countryman S ALL4,"27,946","20,854",All wheel drive,4-Cylinder Turbo,6-Speed Shiftable Automatic,Gasoline,21 City / 31 Highway,Light White,Carbon Black
11,Used 2017 Dodge Challenger SXT w/ Sound Group,"25,000","10,541",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Torred Clearcoat,Black
