,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
1 Aspen Arbors At Stonegate Dr,Saint Louis,0,279900.0,3,2,1279,1,182028.0,54.0,157.0,39.0,1,1,1,0,1,1,0,0,64.0,1963.0,0,1,5,1,219.0,1,2,7,1279.0,2.0,3,50,0,0,1,0
1 Avanleigh Arbors Frontenac Dr,Saint Louis,0,589900.0,2,2,2080,1,664548.0,-11.0,228.0,24.0,2,1,1,0,1,1,0,0,64.0,2001.0,0,1,4,1,284.0,1,7,5,2080.0,2.0,3,600,0,0,1,0
1 Avanti La Collina,Saint Louis,0,286900.0,2,2,1348,1,250488.0,15.0,156.0,36.0,1,1,1,0,1,1,0,0,68.0,1963.0,0,2,4,1,213.0,1,2,1,2469.0,2.0,3,29,0,0,2,0
1 Bella Vista Lacollina St,Saint Louis,0,328900.0,3,4,2019,1,250488.0,31.0,156.0,4.0,1,1,1,0,1,1,0,0,64.0,1996.0,0,3,7,1,163.0,1,0,1,2019.0,2.0,3,0,0,0,2,0
1 Bellendon Arbors Frontenac Dr,Saint Louis,0,679900.0,3,4,3411,1,664548.0,2.0,228.0,-13.0,2,1,1,0,1,1,0,0,64.0,2001.0,0,1,7,1,199.0,1,6,5,3411.0,2.0,3,600,0,0,1,0
1 Berwick Arbors At Stonegate Dr,Saint Louis,0,295900.0,3,3,1728,1,182028.0,63.0,157.0,9.0,1,1,1,0,1,1,0,0,64.0,1963.0,0,2,6,1,171.0,1,0,7,1728.0,2.0,3,50,0,0,1,0
1 Denny Ln,Saint Louis,0,4975000.0,3,3,3046,1,664548.0,649.0,228.0,616.0,1,1,1,1,1,1,0,0,180.0,1954.0,0,1,7,1,1633.0,1,2,5,3.0,3.0,3,0,0,1,5,0
1 Sterling Manors Vista Conn Dr,Saint Louis,0,272900.0,4,3,1905,1,152205.0,79.0,140.0,2.0,1,1,1,0,1,1,0,0,64.0,1963.0,0,2,7,1,143.0,1,0,7,1905.0,2.0,3,27,0,0,1,0
1 Westridge Ct,Saint Louis,0,550000.0,4,2,2700,1,915801.0,-40.0,275.0,-26.0,1,1,1,0,1,1,0,0,69.0,1941.0,0,1,7,1,204.0,1,2,5,2700.0,2.0,3,0,0,0,2,0
10 Waverton Dr,Saint Louis,0,539900.0,3,2,2057,1,915801.0,-41.0,275.0,-5.0,2,1,1,0,1,1,0,0,36.0,1949.0,0,1,7,1,262.0,1,2,5,7187.0,1.0,3,0,0,0,3,0
100 E Main St,Lees Summit,0,169000.0,3,2,2050,1,275934.0,-39.0,355.0,-77.0,0,1,1,1,0,1,1,0,35.0,1883.0,0,1,5,1,82.0,1,0,7,7405.0,1.0,3,0,1,0,8,0
100 NW 76th St,Kansas City,1,239900.0,3,3,2740,1,188822.0,27.0,139.0,-37.0,1,1,1,1,1,1,0,0,9.0,1964.0,0,2,6,1,88.0,1,0,0,10123.0,2.0,3,0,0,0,2,0
100 Renee Dr,Columbia,0,229900.0,3,2,2072,1,223410.0,3.0,131.0,-15.0,2,1,1,0,1,1,0,0,10.0,2005.0,0,2,6,1,111.0,1,7,7,2072.0,2.2,3,0,0,0,5,0
100 W 79th St,Kansas City,0,153000.0,2,1,828,1,227344.0,-33.0,167.0,11.0,1,1,1,0,0,1,0,0,40.0,1920.0,0,1,3,1,185.0,1,0,7,5227.0,1.0,3,0,0,0,3,0
100 Young Dr,Saint Louis,0,75000.0,3,5,864,4,73741.0,2.0,70.0,24.0,1,1,1,0,1,1,0,0,45.0,1958.0,0,1,5,0,87.0,1,2,5,5749.0,1.0,2,0,0,0,1,0
1000 Madison St,Columbia,0,117500.0,3,1,884,4,254792.0,-54.0,128.0,4.0,1,1,1,1,0,1,0,1,59.0,1920.0,1,1,6,0,133.0,1,7,7,4843.0,0.0,0,0,1,0,15,0
1000 NE Banner St,Lees Summit,0,316950.0,3,3,2707,1,259144.0,22.0,145.0,-19.0,1,1,1,1,1,1,0,0,58.0,2006.0,0,1,6,1,117.0,1,0,5,2707.0,2.0,3,100,0,0,5,0
10001 E Saint Charles Rd,Columbia,0,1295000.0,10,6,8760,1,172020.0,653.0,108.0,37.0,1,1,1,0,0,0,0,0,43.0,1819.0,0,3,18,1,148.0,1,7,8,10.0,2.2,3,0,0,1,1,0
10001 N Wallace Ave,Kansas City,1,415000.0,5,3,2888,1,306678.0,35.0,220.0,-35.0,1,1,1,1,1,1,0,0,3.0,2016.0,0,2,7,1,144.0,1,2,8,2888.0,3.0,3,32,0,1,4,0
10008 N Revere Ct,Kansas City,0,520000.0,4,4,2812,1,311861.0,67.0,166.0,11.0,0,0,1,1,1,1,0,0,36.0,2019.0,0,1,12,1,185.0,1,0,5,2812.0,3.0,3,104,0,0,7,0
10009 N Harrison Dr,Kansas City,1,325000.0,5,3,2400,1,243914.0,33.0,146.0,-7.0,1,1,1,1,0,1,1,0,7.0,1972.0,1,2,6,1,135.0,1,7,5,2400.0,2.0,3,29,0,1,1,0
10009 N Harrison Dr,Kansas City,1,325000.0,5,3,2400,1,243914.0,33.0,146.0,-7.0,1,1,1,1,0,1,1,0,9.0,1972.0,1,2,6,1,135.0,1,7,5,2400.0,2.0,3,29,0,1,1,0
10010 Schuessler Rd,Saint Louis,0,235000.0,3,2,1390,1,279887.0,-16.0,166.0,2.0,1,1,1,0,1,1,0,0,149.0,1951.0,0,1,6,1,169.0,1,2,0,1.0,2.0,3,0,0,0,3,0
