,region,new,price,bedrm,bth,sqft
1324 Weaver Dr,"Columbia, MO","NEWOPEN SUN, 2-4PM","$270,000",5bd,3ba,"2,517 sqft"
6414 Cobble Creek Dr,"Columbia, MO",NEW,"$415,000",4bd,3ba,"2,570 sqft"
712 E Camellia Ct,"Columbia, MO",NEW,"$164,900",3bd,2ba,"1,476 sqft"
4401 Orrine St,"Columbia, MO",NEW,"$314,700",5bd,3ba,"2,554 sqft"
6501 S West Way,"Columbia, MO",OLD,"$200,000",4bd,3ba,"1,850 sqft"
3104 Crawford St,"Green Meadows, Columbia, MO",OLD,"$179,900",3bd,3ba,"1,836 sqft"
985 S Olivet Rd,"Columbia, MO",NEW,"$2,200,000",4bd,5ba,"5,495 sqft"
2112 Bridgewater Dr,"Parkade, Columbia, MO",OLD,"$174,900",3bd,3ba,"1,729 sqft"
1401 W Worley St,"Columbia, MO",NEW,"$120,000",2bd,1ba,758 sqft
1307 Subella Dr,"Columbia, MO",OLD,"$199,000",4bd,3ba,"2,000 sqft"
1503 Shannon Pl,"Columbia, MO",OLD,"$205,000",4bd,3ba,"2,310 sqft"
1810 Highridge Dr,"Columbia, MO",OLD,"$176,000",4bd,3ba,"1,636 sqft"
12 Lucerne Ct,"Columbia, MO",OLD,"$284,900",4bd,3ba,"3,001 sqft"
6251 S West Way,"Columbia, MO",OLD,"$339,900",3bd,3ba,"2,336 sqft"
200 W 7th St,"Fulton, MO",OLD,"$149,500",3bd,1ba,"1,974 sqft"
5407 Murfreesboro Dr,"Columbia, MO",NEW,"$193,000",3bd,2ba,"1,675 sqft"
4012 Blue Hollow Dr,"Columbia, MO",OLD,"$460,000",5bd,3ba,"3,510 sqft"
5001 Forsythia Falls Loop,"Columbia, MO",OLD,"$384,500",5bd,4ba,"3,394 sqft"
4001 Fall Ridge Dr,"Columbia, MO",OLD,"$298,000",5bd,4ba,"3,146 sqft"
6907 Stanwood Dr,"Columbia, MO",OLD,"$384,900",5bd,3ba,"3,052 sqft"
2309 Silver Leaf Ct,"Columbia, MO",OLD,"$182,900",3bd,2ba,"1,310 sqft"
2600 N Oakland Gravel Rd,"Columbia, MO",OLD,"$175,000",3bd,2ba,"1,292 sqft"
309 Oakridge Ct,"Columbia, MO",OLD,"$434,000",5bd,4ba,"3,544 sqft"
4807 Castlewood Ct,"Columbia, MO",NEW,"$219,900",3bd,3ba,"1,702 sqft"
1205 London Dr,"Highland Park, Columbia, MO",OLD,"$180,000",4bd,2ba,"3,596 sqft"
