title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Avengers: Endgame,Anthony RussoJoe Russo,Kevin Feige,Christopher MarkusStephen McFeely,The Avengersby Stan LeeJack Kirby,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Don Cheadle Paul Rudd Brie Larson Karen Gillan Danai Gurira Benedict Wong Jon Favreau Bradley Cooper Gwyneth Paltrow Josh Brolin,Alan Silvestri,Trent Opaloch,Jeffrey Ford Matthew Schmidt,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-04-26,181,USA,English,356000000.0,2798000000.0,,,,
The Lion King,Jon Favreau,Jon Favreau Jeffrey Silver Karen Gilchrist,Jeff Nathanson,Disney's The Lion Kingby Irene MecchiJonathan RobertsLinda Woolverton,Donald Glover Seth Rogen Chiwetel Ejiofor Alfre Woodard Billy Eichner John Kani John Oliver Beyoncé Knowles-Carter James Earl Jones,Hans Zimmer,Caleb Deschanel,Mark Livolsi Adam Gerstel,Walt Disney Pictures Fairview Entertainment,Walt Disney StudiosMotion Pictures,2019-07-19,118,USA,English,260000000.0,1657000000.0,,,,
Star Wars: The Rise of Skywalker,J. J. Abrams,Kathleen Kennedy J. J. Abrams Michelle Rejwan,Chris Terrio J. J. Abrams,Charactersby George Lucas,Carrie Fisher Mark Hamill Adam Driver Daisy Ridley John Boyega Oscar Isaac Anthony Daniels Naomi Ackie Domhnall Gleeson Richard E. Grant Lupita Nyong'o Keri Russell Joonas Suotamo Kelly Marie Tran Ian McDiarmid Billy Dee Williams,John Williams,Dan Mindel,Maryann Brandon Stefan Grube,Lucasfilm Ltd. Bad Robot Productions,Walt Disney StudiosMotion Pictures,2019-12-20,142,USA,English,275000000.0,1074000000.0,Derek Connolly Colin Trevorrow J. J. Abrams Chris Terrio,,,
Frozen II,Chris Buck Jennifer Lee,Peter Del Vecho,Jennifer Lee,,Kristen Bell Idina Menzel Josh Gad Jonathan Groff,Christophe Beck (score) Robert Lopez (songs) Kristen Anderson-Lopez (songs),Tracy Scott Beattie (layout) Mohit Kallianpur (lighting),Jeff Draheim,Walt Disney Pictures Walt Disney Animation Studios,Walt Disney StudiosMotion Pictures,2019-11-22,103,USA,English,150000000.0,1450000000.0,Chris Buck Jennifer Lee Marc E. Smith Kristen Anderson-Lopez Robert Lopez,,,
Toy Story 4,Josh Cooley,Mark Nielsen Jonas Rivera,Andrew Stanton Stephany Folsom,,Tom Hanks Tim Allen Annie Potts Tony Hale Keegan-Michael Key Jordan Peele Madeleine McGraw Christina Hendricks Keanu Reeves Ally Maki Jay Hernandez Lori Alan Joan Cusack,Randy Newman,Patrick Lin Jean-Claude Kalache,Axel Geddes,,Walt Disney StudiosMotion Pictures,2019-06-21,100,USA,English,200000000.0,1073000000.0,John Lasseter Andrew Stanton Josh Cooley Valerie LaPointe Rashida Jones Will McCormack Martin Hynes Stephany Folsom,Walt Disney Pictures Pixar Animation Studios,,
Captain Marvel,Anna BodenRyan Fleck,Kevin Feige,Anna Boden Ryan Fleck Geneva Robertson-Dworet,Captain Marvelby Stan Lee Gene Colan Carol Danversby Roy Thomas Gene Colan,Brie Larson Samuel L. Jackson Ben Mendelsohn Djimon Hounsou Lee Pace Lashana Lynch Gemma Chan Annette Bening Clark Gregg Jude Law,Pinar Toprak,Ben Davis,Elliot Graham Debbie Berman,Marvel Studios,Walt Disney StudiosMotion Pictures,2019-03-08,124,USA,English,175000000.0,1128000000.0,Nicole Perlman Meg LeFauve Anna Boden Ryan Fleck Geneva Robertson-Dworet,,,
Spider-Man: Far From Home,Jon Watts,Kevin Feige Amy Pascal,,Spider-Manby Stan LeeSteve Ditko,Tom Holland Samuel L. Jackson Zendaya Cobie Smulders Jon Favreau J. B. Smoove Jacob Batalon Martin Starr Marisa Tomei Jake Gyllenhaal,Michael Giacchino,Matthew J. Lloyd,Dan Lebental Leigh Folsom Boyd,,Sony Pictures Releasing,2019-07-02,129,USA,English,160000000.0,1132000000.0,,Columbia Pictures Marvel Studios Pascal Pictures,Chris McKenna Erik Sommers,
Aladdin,Guy Ritchie,Dan Lin Jonathan Eirich,John August Guy Ritchie,Disney's Aladdinby Ron ClementsJohn MuskerTed ElliottTerry Rossio Aladdin and the Magic Lamp from One Thousand and One Nights,Will Smith Mena Massoud Naomi Scott Marwan Kenzari Navid Negahban Nasim Pedrad Billy Magnussen,Songs: Alan Menken Howard Ashman Tim Rice Pasek & Paul Score: Alan Menken,Alan Stewart,James Herbert,Walt Disney Pictures Rideback Marc Platt Productions,Walt Disney StudiosMotion Pictures,2019-05-24,128,USA,English,183000000.0,1050999999.9999999,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,2019-10-04,122,USA,English,70000000.0,1074000000.0,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
John Wick: Chapter 3 – Parabellum,Chad Stahelski,Basil Iwanyk Erica Lee,Derek Kolstad Shay Hatten Chris Collins Marc Abrams,Charactersby Derek Kolstad,Keanu Reeves Halle Berry Laurence Fishburne Mark Dacascos Asia Kate Dillon Lance Reddick Anjelica Huston Ian McShane,Tyler Bates Joel J. Richard,Dan Laustsen,Evan Schiff,Summit Entertainment Thunder Road Pictures 87Eleven Productions,Lionsgate,2019-05-17,131,USA,English,75000000.0,326700000.0,Derek Kolstad,,,
Escape Room,Adam Robitel,Neal H. Moritz Ori Marmur,Bragi F. Schut Maria Melnik,,Taylor Russell Logan Miller Deborah Ann Woll Jay Ellis Tyler Labine Nik Dodani Yorick van Wageningen,Brian TylerJohn Carey,Marc Spicer,Steven Mirkovich,Columbia PicturesOriginal Film,Sony Pictures Releasing,2019-01-04,100,USA,English,9000000.0,155700000.0,Bragi Schut,,,
A Dog's Way Home,Charles Martin Smith,Gavin Polone,W. Bruce CameronCathryn Michon,A Dog's Way Homeby W. Bruce Cameron,Ashley Judd Jonah Hauer-King Edward James Olmos Alexandra Shipp Wes Studi Bryce Dallas Howard,Mychael Danna,Peter Menzies Jr.,Debra Neil-FisherDavid S. ClarkSabrina Plisco,,Sony Pictures Releasing,2019-01-11,96,USA,English,18000000.0,80700000.0,,Columbia PicturesBona Film GroupPariah,,
The Upside,Neil Burger,Todd Black Jason Blumenthal Steve Tisch,Jon Hartmere,The Intouchablesby Olivier NakacheEric Toledano,Kevin Hart Bryan Cranston Nicole Kidman Golshifteh Farahani,Rob Simonsen,Stuart Dryburgh,Naomi Geraghty,Escape Artists,STXfilmsLantern Entertainment,2019-01-11,126,USA,English,37500000.0,125900000.0,,,,
Replicas,Jeffrey Nachmanoff,Lorenzo di Bonaventura Mark Gao Stephen Hamel Keanu Reeves Luis A. Riefkohl,Chad St. John,,Keanu Reeves Alice Eve Thomas Middleditch John Ortiz,Mark Kilian Jose Ojeda,Checco Varese,Pedro Javier Muñiz,Di Bonaventura Pictures Riverstone Pictures Company Films Ingenious Media Remstar Studios Fundamental Films Lotus Entertainment 74850 and Global Pictures Media LLC Ocean Park Entertainment,Entertainment Studios Motion Pictures,2019-01-11,107,USA,English,30000000.0,9300000.0,Stephen Hamel,,,
Glass,M. Night Shyamalan,M. Night Shyamalan Jason Blum Marc Bienstock Ashwin Rajan,,,James McAvoy Bruce Willis Anya Taylor-Joy Sarah Paulson Samuel L. Jackson,West Dylan Thordson,Mike Gioulakis,Luke CiarrocchiBlu Murray,,Universal Pictures (United States and Canada) Buena Vista International (international),2019-01-18,129,USA,English,20000000.0,247000000.0,,Blinding Edge Pictures Blumhouse Productions,M. Night Shyamalan,
The Kid Who Would Be King,Joe Cornish,Tim Bevan Eric Fellner Nira Park,,,Louis Ashbourne Serkis Tom Taylor Rebecca Ferguson Patrick Stewart,Electric Wave Bureau,Bill Pope,Jonathan Amos Paul Machliss,20th Century Fox Working Title Films Big Talk Pictures TSG Entertainment,20th Century Fox,2019-02-15,120,"UK, States",English,59000000.0,32100000.0,,,Joe Cornish,
Serenity,Steven Knight,Greg ShapiroGuy HeeleySteven Knight,,,Matthew McConaughey Anne Hathaway Diane Lane Jason Clarke Djimon Hounsou,Benjamin Wallfisch,Jess Hall,Laura Jennings,Global Road Entertainment Starlings Entertainment Nebulastar Shoebox Films,Aviron Pictures,2019-01-25,106,USA,English,25000000.0,14400000.0,,,Steven Knight,
Miss Bala,Catherine Hardwicke,Pablo Cruz Kevin Misher,,Miss Balaby Gerardo NaranjoMauricio Katz,Gina Rodriguez Ismael Cruz Córdova Anthony Mackie,Alex Heffes,Patrick Murguia,Terilyn A. Shropshire,,Sony Pictures Releasing,2019-02-01,104,"USA, Mexico",English Spanish,15000000.0,15400000.0,,Columbia Pictures Canana Films Misher Films,Gareth Dunnett-Alcocer,
