title,directed_by,produced_by,screenplay_by,based_on,starring,music_by,cinematography,edited_by,productioncompany,distributed_by,release_date,running_time,country,language,budget,box_office,story_by,productioncompanies,written_by,narrated_by
Avengers: Endgame,Anthony RussoJoe Russo,Kevin Feige,Christopher MarkusStephen McFeely,The Avengersby Stan LeeJack Kirby,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Don Cheadle Paul Rudd Brie Larson Karen Gillan Danai Gurira Benedict Wong Jon Favreau Bradley Cooper Gwyneth Paltrow Josh Brolin,Alan Silvestri,Trent Opaloch,Jeffrey Ford Matthew Schmidt,Marvel Studios,Walt Disney StudiosMotion Pictures,"April 22, 2019Los Angeles Convention Center) April 26, 2019",181 minutes,United States,English,356 million,2.798 billion,,,,
The Lion King,Jon Favreau,Jon Favreau Jeffrey Silver Karen Gilchrist,Jeff Nathanson,Disney's The Lion Kingby Irene MecchiJonathan RobertsLinda Woolverton,Donald Glover Seth Rogen Chiwetel Ejiofor Alfre Woodard Billy Eichner John Kani John Oliver Beyoncé Knowles-Carter James Earl Jones,Hans Zimmer,Caleb Deschanel,Mark Livolsi Adam Gerstel,Walt Disney Pictures Fairview Entertainment,Walt Disney StudiosMotion Pictures,"July 9, 2019Hollywood) July 19, 2019",118 minutes,United States,English,250–260 million,1.657 billion,,,,
Star Wars: The Rise of Skywalker,J. J. Abrams,Kathleen Kennedy J. J. Abrams Michelle Rejwan,Chris Terrio J. J. Abrams,Charactersby George Lucas,Carrie Fisher Mark Hamill Adam Driver Daisy Ridley John Boyega Oscar Isaac Anthony Daniels Naomi Ackie Domhnall Gleeson Richard E. Grant Lupita Nyong'o Keri Russell Joonas Suotamo Kelly Marie Tran Ian McDiarmid Billy Dee Williams,John Williams,Dan Mindel,Maryann Brandon Stefan Grube,Lucasfilm Ltd. Bad Robot Productions,Walt Disney StudiosMotion Pictures,"December 16, 2019Hollywood) December 20, 2019",142 minutes,United States,English,275 million,1.074 billion,Derek Connolly Colin Trevorrow J. J. Abrams Chris Terrio,,,
Frozen II,Chris Buck Jennifer Lee,Peter Del Vecho,Jennifer Lee,,Kristen Bell Idina Menzel Josh Gad Jonathan Groff,Christophe Beck (score) Robert Lopez (songs) Kristen Anderson-Lopez (songs),Tracy Scott Beattie (layout) Mohit Kallianpur (lighting),Jeff Draheim,Walt Disney Pictures Walt Disney Animation Studios,Walt Disney StudiosMotion Pictures,"November 7, 2019Dolby Theatre) November 22, 2019",103 minutes,United States,English,150 million,1.450 billion,Chris Buck Jennifer Lee Marc E. Smith Kristen Anderson-Lopez Robert Lopez,,,
Toy Story 4,Josh Cooley,Mark Nielsen Jonas Rivera,Andrew Stanton Stephany Folsom,,Tom Hanks Tim Allen Annie Potts Tony Hale Keegan-Michael Key Jordan Peele Madeleine McGraw Christina Hendricks Keanu Reeves Ally Maki Jay Hernandez Lori Alan Joan Cusack,Randy Newman,Patrick Lin Jean-Claude Kalache,Axel Geddes,,Walt Disney StudiosMotion Pictures,"June 11, 2019El Capitan Theatre) June 21, 2019",100 minutes,United States,English,200 million,1.073 billion,John Lasseter Andrew Stanton Josh Cooley Valerie LaPointe Rashida Jones Will McCormack Martin Hynes Stephany Folsom,Walt Disney Pictures Pixar Animation Studios,,
Captain Marvel,Anna BodenRyan Fleck,Kevin Feige,Anna Boden Ryan Fleck Geneva Robertson-Dworet,Captain Marvelby Stan Lee Gene Colan Carol Danversby Roy Thomas Gene Colan,Brie Larson Samuel L. Jackson Ben Mendelsohn Djimon Hounsou Lee Pace Lashana Lynch Gemma Chan Annette Bening Clark Gregg Jude Law,Pinar Toprak,Ben Davis,Elliot Graham Debbie Berman,Marvel Studios,Walt Disney StudiosMotion Pictures,"February 27, 2019 March 8, 2019",124 minutes,United States,English,152–175 million,1.128 billion,Nicole Perlman Meg LeFauve Anna Boden Ryan Fleck Geneva Robertson-Dworet,,,
Spider-Man: Far From Home,Jon Watts,Kevin Feige Amy Pascal,,Spider-Manby Stan LeeSteve Ditko,Tom Holland Samuel L. Jackson Zendaya Cobie Smulders Jon Favreau J. B. Smoove Jacob Batalon Martin Starr Marisa Tomei Jake Gyllenhaal,Michael Giacchino,Matthew J. Lloyd,Dan Lebental Leigh Folsom Boyd,,Sony Pictures Releasing,"June 26, 2019TCL Chinese Theatre) July 2, 2019",129 minutes,United States,English,160 million,1.132 billion,,Columbia Pictures Marvel Studios Pascal Pictures,Chris McKenna Erik Sommers,
Aladdin,Guy Ritchie,Dan Lin Jonathan Eirich,John August Guy Ritchie,Disney's Aladdinby Ron ClementsJohn MuskerTed ElliottTerry Rossio Aladdin and the Magic Lamp from One Thousand and One Nights,Will Smith Mena Massoud Naomi Scott Marwan Kenzari Navid Negahban Nasim Pedrad Billy Magnussen,Songs: Alan Menken Howard Ashman Tim Rice Pasek & Paul Score: Alan Menken,Alan Stewart,James Herbert,Walt Disney Pictures Rideback Marc Platt Productions,Walt Disney StudiosMotion Pictures,"May 8, 2019Grand Rex) May 24, 2019",128 minutes,United States,English,183 million,1.051 billion,,,,
Joker,Todd Phillips,Todd Phillips Bradley Cooper Emma Tillinger Koskoff,,Charactersby DC Comics,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Hildur Guðnadóttir,Lawrence Sher,Jeff Groth,,Warner Bros. Pictures,"August 31, 2019Venice) October 4, 2019",122 minutes,United States,English,55–70 million,1.074 billion,,Warner Bros. Pictures DC Films Joint Effort Bron Creative Village Roadshow Pictures,Todd Phillips Scott Silver,
John Wick: Chapter 3 – Parabellum,Chad Stahelski,Basil Iwanyk Erica Lee,Derek Kolstad Shay Hatten Chris Collins Marc Abrams,Charactersby Derek Kolstad,Keanu Reeves Halle Berry Laurence Fishburne Mark Dacascos Asia Kate Dillon Lance Reddick Anjelica Huston Ian McShane,Tyler Bates Joel J. Richard,Dan Laustsen,Evan Schiff,Summit Entertainment Thunder Road Pictures 87Eleven Productions,Lionsgate,"May 9, 2019Brooklyn) May 17, 2019",131 minutes,United States,English,75 million,326.7 million,Derek Kolstad,,,
