id,title
mFHNIGG99pg,VICIOUS confrontation with my BIGGEST HATER
NLgxR60ZB4Q,the SANTA who stole Christmas
blo04zJAles,only MANLY MEN can watch this video
o6hbqnq-1pU,heated but good convo with Dr. Karlyn Borysenko
Sq-IXDNhGIg,THE CHURCH OF TRUMP!
iTay_Cxd6gI,Jake Paul is still an idiot
AFdJDH_vz7Q,Attack of the WOKETARDS
IEFvgmv-vx4,“White People Stink” | CUT Response
15_7Pj3XFp4,Perverted TikTok Chick: It’s Time to STOP!
QBCy84fiEmY,Taking the Political Compass Test! (FINALLY)
9u57Hq58D_w,World War 3? Iran developing nuclear weapons!
ljrGBtaf_gI,Can Donald Trump Still Win?
1CUWik938os,Answers for an INCEL - from a CHAD!
1vajb5SvPa0,How 'Borat 2' Exposed America
T2B4QhTQLQY,"The Worst ""Scary"" Movie on Amazon Prime"
7ObATwfU0E0,"Joe Biden WINS! Coping, Lies, & who I voted for..."
rW61vK3NSYg,CNN still sucks!
MEheeC-4FSM,Catching up with Onision (it's BAD!)
HhmJAilmyyY,"when conservatives do stand up ""comedy"""
8XgGj8VyvEY,COVID INSANITY 🤢
ODfOSYu4L7A,Creepy Pedophile Totally FAILS!
A6QFklWfTYg,The Right Wing Karen
DvTD5yJ0a1Q,Interview with trans athlete: Janae Marie Kroc
Ia3NCiWaVRk,Fat Acceptance Strikes Again! (in a BIG way)
CgUX1vsDKGE,Exposing Blaire White
1qA4ji7sGwc,The Creepiest Age Gap Relationship...yikes
18YkTgJG3sc,Cuties got Netflix INDICTED!
_q6m4Dm6DE8,"Talking with Dr. Karlyn Borysenko - Leaving the left/right, disagreements, MORE!"
D7RxYk8cr10,i don't like SNL
GpFzpVDZoCE,DEBATE with Joel Patrick! (TRAINWRECK)
LMCVJpabfBs,it's only ok when a woman does it
5msWiTmEKJE,Kaitlin Bennett just got WORSE!
kHXRZ3B3mjY,How Joe Biden (kinda) won the first presidential debate
w9cFquhUHgc,The Most Disturbing Kids Show
19fT6ELTgMw,how mulan 2020 cucked disney
gPwcifDn8NY,The Gay Cartoon...for KIDS!
4Rc1mlGBH3o,The Creepiest Pro-Cuties Movie Review...yikes
3ca8xAF2NJE,The Worst of Reality TV: Toddlers & Tiaras
ksUXj2UabuI,Cuties CRASHED Netflix!
f-L7b5jSqbw,"I watched this ""feminist"" movie so you don't have to"
sxadiIUy-MY,Debunking MYSELF: Black Lives Matter
yonaND3tFaI,Exposing Cuties:  The Truth Behind the Scenes
bxy-fdIYHNI,i watched CUTIES so you don't have to
GFCrIxqfkXE,Debating RACISM...with a black guy
7PFvj1lC3As,Netflix 'Cuties' Movie just got WORSE!
SHnHsohHntU,I don't like Cardi B (or Candace Owens)
lLfemLmItJk,"""I lied about being black"""
x3eNFCib-f8,Ask a Leftist ANYTHING!
jmpSpGxKiYw,introducing *FAT* privilege
PUB-VqlQAXU,🌈 3 Lies about Gay People
txgZSZzdx0E,Campaigning for LIBERTY!
YTgbky8BEKU,i don't like TikTok.
SFnVI3G4R_M,i don't like incels.
G9FqbuyYJlE,Netflix hits an all time low
6crboF63fEE,Say His Name: Cannon Hinnant
06nbIA2Rjzs,i don't like simps.
kmecIO17HDs,Tomi Lahren goes full FEMINIST!
q0EMrder10w,I don't like Gwyneth Paltrow.
1h62cYVgDxo,the man who grew a penis on his arm
_QkvGyVmWEc,5 Lies about George Floyd
r2YM2ywbfxo,Does the George Floyd Bodycam Footage Change Everything? (NO)
K01twgoOtfE,"This ""doctor"" must be stopped!"
wBJ04E6Ihxg,I debated a conspiracy theorist and this happened...
SfW0vz27-sQ,Donald Trump is Disappointing Me...
YIra3USIVGk,I don't like Lele Pons.
8ZrgJfRG8O4,liberals annoy me.
urWq8128H-c,"The Truth about ""Transgenders"""
jkCc69rdWNc,I don't like Gabbie Hanna.
wJ_pUAHYmjs,Kanye West is batsh*t crazy
ZCd-g1Arwqo,"now traffic signals are ""racist"" and I'm not kidding..."
1zFgXHITMaU,Talking with an EX-CONSERVATIVE!
JBgxcKS0Nls,I'm Horrified: New Jefferey Epstein Developments
THlL_dN9Zdw,This has me outraged and disgusted.
OTPDZCDTeD0,Amy Schumer is BACK (and I'm grossed out!)
TQlEIJeuukk,I'm Mad as Hell.
qiG2lRn6_Ao,Scooby-Doo is *GAY?!*
86dzSzGscrE,Corona Karen Calls Me Out!
m-W8oPb32fo,coronavirus idiots
wPbGdgWdhWI,"CNN SHOWDOWN: Don Lemon, Terry Crews, BLM! | an analysis"
6eHWeILtlFc,i found it...the dumbest feminist article yet
Y7JLatT3igA,Meet my SON!
rst-bNdAcXI,Kanye West is *RUNNING FOR PRESIDENT*
fRZQ9w5Gyok,Shane Dawson is an Idiot
FXhxKmBudUY,"feminist stand up ""comedy"" strikes again!"
S9QJAD9U5F0,Talking w/ The Amazing Lucas
AZvSVOb-UEo,Fat Acceptance TED TALK Goes Wrong
GnjYRWQI91k,EXPOSED: Racist Black Guy FRAMES 'Karen'
TQScWqZRwUs,Jimmy Kimmel Got CANCELED!
vJYN0V8uIh8,The Truth about Trump
71f5evxbrm8,MELTDOWN over MCDONALDS! - Officer Karen
KL4h1eAQ9bs,What would YOU do? *feminist edition*
v1dEWHvtSJI,Dave Rubin is a SNOWFLAKE ❄️
CsF0YtA-F0U,Spongebob is *GAY?!*
aiqqgbHjcuc,What would YOU do if THIS happened?!
flCYBTt45I0,Seattle's Capital Hill Autonomous Zone 😂
4kyUKuaU8zc,Top 5 KAREN Meltdowns
JTi6ZtLKz4o,🚨 BREAKING: New George Floyd Developments
9li-l0Oxa3E,George Floyd: The American Tragedy
KPiMX11vtLY,The Riots are freaking DUMB
4iaWl822f3k,Liberals Ruin Twitch
-joWKBwIw78,The Destruction of BUZZFEED
vFKrHKNOgks,feminist journalist rages about men...again
FrwHwXShx38,untitled.mp4
pQGB7lX9gjI,The TRUTH about Gun Control in less than 5 minutes
Vxu2bKspA38,You won’t believe what they’re offended by now…
H1V_qY5UZiY,The Democrats DISGUST Me!
RXiTDn37Kag,Dear Boomers
i0XykKqsGNo,attack of the karens
WO8LAUgGfhY,I found her...literally the worst feminist
70H0l2ORTws,"I'm an ""SJW"" - Response to TheQuartering"
EoFuy0KI-Sc,Onision Wants You to See Him Naked 😳
Oh4yyxtNkPk,Why I left the Right
IYVNxiogBYY,🏳️‍🌈 The Anti-LGBT Community Strikes Again!
th5Li1j3cfs,Reacting to Celebrity Cringe! 🤮 (HELP)
99F7SuTIu7Y,Conservative 'Dating Experiment' Goes Wrong
WFUjgCLf_58,Fat Acceptance is BACK...and it's bad
ThVl9HUCERk,Jimmy Kimmel - The Worst of Late Night TV
v-wP92XqK4Q,Feminists Ruin TikTok
L7xFI3AYTQM,i have coronavirus
bGvUBGmNSes,when feminists run for president...
aq53ORsK2ic,The TRUTH about Relationships
zcaGJCubkdc,"Feminist stand up ""comedy"" is getting worse"
jP-sNXvPzA4,Jussie Smollett Just got Worse
cY1FxxXqbrI,Hunter Avallone Responds to Kaitlin Bennett
gBsLeHcAeHg,Onision is finally finished!
SvEaqkxEiJE,i've been exposed
KAu7VQguM0U,Kaitlin Bennett is an Idiot
MsQjrQ_t3lM,when feminists open a restaurant...
FDOIkku_I8Y,The Destruction of Jessica Yaniv
lrdNykK8f9w,Protesters Marching for WHAT?!
IMEPn7rKWqQ,when feminists make a SUPERHERO show
tQtzAUtBG8I,Onision is in big trouble
nHYWJyap7Cs,Fat Acceptance Hit a New Low
VKxP3EFev6M,"when feminists do stand up ""comedy"""
FLS-KFzpKqs,I got drafted for World War 3...
Qrp0EtErAi4,Pedophile Fetish?! - This Week in Weird
uOOZ8mh0hZA,Pedophile Playground - The Worst of Reality TV
-O-CpMUQqpA,Liberals Ruined 2019
4AXugBiLSOs,Feminist Horror Movie Goes Wrong...
j_gR9fmcBfU,This is WORSE than Queer Kid Stuff!
YSQiWNHftqE,Roasting Joe Biden
PYia1bhgk2g,when feminists make a movie...
c21Gyh2M6oY,The Destruction of FAT ACCEPTANCE!
pvJyKgIkFHU,ONISION DISS TRACK: Onion Boi
TfqAyYf-pyM,The Destruction of QUEER KID STUFF!
4hgA61avy2g,The Glorious Destruction of ONISION
gRvcvlsADvs,Introducing the ANGRY VIRGINS: Incels
AKLDLTiy0Sc,10 Answers for NON-BINARY People!
SQur951HtLI,This LGBT site is WORSE than BUZZFEED 🤢
865V0PL2dqM,“I’m a 10 Year Old Drag Queen” 🏳️‍🌈 STOP
F0nss26yavk,🔴Exposing The Young Turks: Progressive LOSERS
2_88yiKqOzc,😂 TRIGGERED BY SPONGEBOB: Liberals vs Logic!
aASOrpBU2kg,🌈TRANSGENDER KIDS: It’s Time to Stop!
zLHVCRTdxNc,Conservative Censorship & Project Veritas
dt2Mk6ECe6c,"""Conservatives"" Call Me Out! 🤡"
AtbfyUXIyXk,I Spoke at Penn State University and got Protested ⚠️
7JXcp__b-Vw,🍩 Fat Acceptance vs Logic: “Trump Made Me Fat!”
98YOF558wvk,Coming out as...TRANSGENDER 🏳️‍🌈
7VbuT76zSTA,👦🏾 The Truth about BLACK PEOPLE!
f_xg_KDvFZs,🤮BATWOMAN REVIEW: The Awful Feminist Superhero Show♀️
C5P0RHewSpc,🌈Queer Kid Stuff LAWSUIT Goes WRONG!
8NrInwv-YGY,Exposing 'Desmond is Amazing' 🏳️‍🌈 Child Drag Queen
r-y6fBw-NUs,Anti-Vaxxers Must be Stopped!
S6ZDKnCXbvY,Introducing *5TH WAVE FEMINISM*
3MhdUvdxh4k,Lilly Singh Ruins Late Night TV
gjNySDjq_QQ,This woman identifies as non-human...
13z2OiJeAUM,THOTS: It's Time to STOP!
TMVQ6eNJe9s,The Democratic Debate was a JOKE!
CTjtCNGupR4,Exposing Queer Kid Stuff: The Truth
9OBkmYtvJBc,California's GENDER NEUTRAL City...
C4tt0dSvdQE,Feminist 'Dating Experiment' Goes Wrong
La0jT3-7a-Q,Straight Pride Parade was a SUCCESS!
SI7hDNIty-M,5 Ways to TRIGGER People in 2019!
9ESF5TV2nb4,Bernie Sanders is an Idiot
jm-XYhAJ4iM,Don Lemon just got SUED!
UasAvx_ofzM,Queer Kid Stuff is SUING YOUTUBE!
DAJWVctYxlI,In Defense of Video Games
YakP_6zw2cU,Democratic Socialist Convention Goes WRONG!
h2KuRnJ9TEc,Exposing Ashley StClair: Right Wing Fraud
KMrozQaHLZ8,CNN just got WORSE
BVfKVRuxpGI,LIVE DEBATE on Abortion with VEGAN GAINS
6ysZxw_vqZ8,Jessica Yaniv Just got Worse
KohQkASicMo,The Truth about Eugenia Cooney
BkIMrlcYoqA,Wacky Feminist Goes Too Far! (Manspreading Chair)
OwgSjLHcoM8,Liberals Ruin MINECRAFT
WsB885SaWC4,Queer Kid Stuff MUSIC VIDEO Goes Wrong
5UmxkYIEZIk,Abortion is WRONG: Our Story
HorQ9NwAz3U,I went to an Antifa Rally and this happened...
g-pjMBJYvtk,Fat Acceptance Has Gone Too Far!
rXjPfGV6mis,Queer Kid Stuff TED TALK Goes Wrong!
mOapnefR47w,Feminists ATTACK Toy Story 4!
sDtisLvEg5I,The Problem with Trans People in Sports
aQS5O9PNsL4,Raging Vegan Calls Me Out!
PqCkpZu3PPs,Feminists Ruin Father's Day
CAPdN_sSYgw,Triggered by Straight Pride Parade!
iGo0I6jFQi8,I went to the Pride Parade and this happened...
LC-HJesKQpo,The Problem with Pride Month
lNfiXvOY1Hs,Brie Larson Takes on Catcalling
7K7QaPX8UGg,Male Feminist Runs for President!
nPn9Lom96Y4,Jake Paul Hits an All Time Low!
jTLafbsWS40,Liberals Ruin Snapchat
lgZEKbAphCc,James Charles is an Idiot
50wHbQzSU7I,Feminist 'Sex Strike' Goes Wrong!
jZsQyr4qF5M,Man Hating Feminists Strike Again!
bFz8O3IgHbo,Vegans: IT'S TIME TO STOP!
SIQny1wa-A0,Fat Acceptance Attacks Avengers!
CFvkNpoLOE0,Brie Larson Ruins Avengers Endgame
IbDXBm3robE,Lying Loser Calls Me Out! - Vaush
59vqr9hg_jI,Liberals Ruin College
9Sp_riEW2MA,Liberals Betray Illegal Immigrants!
h4giNnwdXqE,I GOT BANNED!
FCOkMCpisok,Liberals Ruin Dating
ytB2YssumO4,These Feminists Hit an All Time Low!
gYbI8gyG_SE,Watching Queer Kid Stuff with my Kid!
QXWSGmutPOk,LIBERAL MELTDOWN: Mueller Report
nahK9Dxpn6M,Alexandria Ocasio-Cortez Strikes Again
v7Xfu4kUr_0,Stephen Colbert SUCKS!
JKMtYNmqT0A,I'm a DAD!
agMVVXzx7fc,The BIGGEST Fat Acceptance FAIL!
q8_11ssDJkE,LIVE DEBATE with CRAZY LIBERAL CHICK!
t6jPViSXCes,Elizabeth Warren is an Idiot
ARK0AJNLuEI,Onision Calls Me Out!
jryK1d_G4MQ,R.I.P. BUZZFEED
WGdFw5FVNrU,Sexist ‘Gillette’ Video Bashes Men!
-FAGXL_CQPI,Trolling the L.A. WOMEN'S MARCH!
hlkZQGHRqgA,THE GAYS STRIKE AGAIN!
gbK5OYfSyB8,Leave CNN in 2018
FFUdrAliJWY,Alexandria Ocasio-Cortez is an Idiot
Q59VqtVWsHk,Liberals Ruin Christmas
38bZBmePKdU,"Dear Liberals, Stop Brainwashing Kids!"
ArYnHzYYp9Y,Migrant Caravan: IT'S TIME TO STOP!
iNokLIvWUac,Liberals Ruin Thanksgiving
ihkqUHyJvWM,Furries: IT'S TIME TO STOP!
8lx4Ij_dx1Q,Dear Millennials
q2RdXd0JWRs,Why I Hate Twitter
C8VG5qto3W0,Crazy Liberal Chick Calls Me Out!
KIaXeuhhrtY,Liberals Ruin Women
aIVnqb0KRQs,The Truth about Weed
V8pGtFF1JX0,Wimpy Hipster Bashes White People!
TEwKjPTCwrs,CNN: It's Time to STOP!
zXq1rW44jG0,Collecting Liberal Tears!
YRR0JTvTTVM,Amy Schumer Strikes Again!
5Toh4pc9zRY,This Feminist Must be Stopped! (bleach attack)
0P7Xlb8mMSs,The Problem with Believing Women
X0HF2rOl78I,Queer Kid Stuff Strikes Again!
1yzJrdv2yWg,Pathetic Buzzfeed Video Ruins My Day!
UoNk3X8ApjE,Greasy Liberal Calls Me Out! - (TJ Kirk)
YOccTrm0yEQ,Prius Cruise - (Liberal Diss Track) (Official Music Video)
CzqasB2HKjI,This Sexuality Must be Stopped!!
UPRm_jQ7Z_4,Racist Black Chick Calls Me Out!
eUnh8j8n91U,Liberals Ruin Church
wZqpjT8cv38,Millenial Feminists Can't Stop Lying
949Wue3XHPc,"""Being White is a Disease"""
in9Rcg7L5Hc,Liberals Ruin Movies
CxILM54d_uw,Roasting My Cringy Old Selfies!
JArWXpnOY2I,Liberals vs Straws: Triggered by Sucking!
56LEcqwWJcs,Liberals Ruin Fast Food
B5ajG2l6Ab0,Hunter Avallone Full Speech at HSLS
bqpMqBgxeV8,I'm Sorry for Being a Man
Ft_6ro8COi4,"""White People Ruin Everything"""
Z9hpkZdSNoA,Fat Acceptance: It's Time to Stop!
G9HB1IhsvUM,Liberals Ruin Independence Day
dZobZV493Iw,Hillary Clinton: Where is she now?
pi7VaAN5dyI,Telling Pride March I'm 'Toucansexual'
ku9R0by1YQk,Liberals Ruin Commercials
zcr1p1HweOg,Trolling the PRIDE MARCH!
sWwmilrJ-qU,Samantha Bee is a Total Moron
t-jXHgg7pfk,This Video Will Make You Hate Donald Trump
qGUWqHUzGLk,Liberals Ruin Video Games
h617sTkCpQ8,The Truth about Cultural Appropriation
HXkUvqZ--1E,Liberals vs Logic: ΤRΙGGΕRΕD ΒΥ SCΙ FΙ
7u_KJsoDZXs,GIRL DEFINED: Defining Cringe!
IjGJmgvekKo,Liberals Ruin Rap
6Bo0l7XtsKM,The Young Turks Hit an All Time Low
FZUclqj2q3U,Hunter Avallone & Jaclyn Glenn - Live Discussion
2iOJ9-OdWjM,I found it...the worst Buzzfeed video...
ssBoTuoqcCE,Liberals vs Logic: TRIGGERED BY THE DICTIONARY
fE9vdDheXqo,BLACK PANTHER REVIEW: Total Letdown
EbzMFaitLSU,Dear Illegal Immigrants
RDrTAtsfPJI,WHY I HATE HUNTER AVALLONE!
40oz-XDkDxg,Liberals vs Logic: TRIGGERED BY A T-SHIRT
_e3GH7owurU,Trolling the WΟΜΕΝ'S ΜΑRCΗ!
e1e4eSTcSpE,Liberals vs Logic: TRIGGERED BY WHITE PEOPLE!
odIrkNkH8Eo,CNN Hits an All Time Low
_uoGIs51O3c,If Liberals Ruled the World
mBXGjD5ASrQ,Reacting to LΙΒΕRΑL Instagram Posts! (ΕW)
q68ac2pLaFQ,Liberals vs Logic: TRIGGERED BY COPS!
NUWz0rOr5RA,Buzzfeed Hits an All Time Low
mtJ0Ja_2StQ,Face to Face with Angry ANTIFA
d9DW8qaxkaM,California is a Liberal Hell Hole!
r_pcVHLhrbo,The Diss Track Diss Track - (Official Music Video)
py3_dFFsXso,TRIGGERED BY HALLOWEEN: Liberals vs Logic!
CeZUVM2UwLY,SPOILED BRATS: NFL Anthem Protests!
nr3epiItYz8,20 Answers for Racist Black People!
5QFMkswThtg,How to be ANTIFA
SSxmQE4JA_M,IDIOTIC LIBERALS WANT TO IMPEACH TRUMP!
7MLBNCvi_j4,The Truth about Trump's Transgender Military Ban
3Svbd0tZ-Rs,Sickening Feminist Video Goes Horribly Wrong!
N4yX0RvSV_Y,CNN is Falling Apart - #CNNblackmail
QeuIDb1ZR9c,Taking a Terrible Buzzfeed Quiz!
nzWd0Rq56z4,Trolling an ANTIFA Rally!
FIDUkqclvNo,Kathy Griffin is a Total Moron
AALKx3OZ_PE,Cringy White Privilege Video Goes Terribly Wrong!
WxobN64K9vc,"LIVE REVIEW: The Racist Netflix Show ""Dear White People"""
QpFgleVyyOg,a heart to heart about something important
822tBhUcYbI,EXPOSED: Liberal College Censoring Conservatives
xDPVTWWw_SA,TRUMP STARTS WORLD WAR 3 - Adventures in Retardville #1
0gmuEHZcujY,Hunter Avallone Speaks to Liberals at UTEP College
Sjb1ZeDj3X4,Man Hating Feminist Video Goes Horribly Wrong!
K7Rmt38c2Ok,Amy Schumer is a Total Moron
rQn6GG6sf2A,Rachel Maddow is a Total Idiot
reJmILMdZbQ,The Death of CNN
mHyB4ghHyVI,How to be a Male Feminist
c4DT833LBcw,BUZZFEED STRIKES AGAIN: the Cringiest Video Yet!
qoicf4huNYk,Trump is President - Liberals Scream and Cry!
HSMEJuaDUUg,Triggered Buzzfeed Babies Cry about Their Race!
5-uvHsaOeMY,The Best SJW Fails of 2016
fS8lvgVWOIA,ADAM SALEH - The Muslim who Cried Wolf
P06jvJdlDP0,Racist MTV Video Bashes White Men!
v6dcUumznMU,The Young Turks Totally FAIL
TX43v5VzU5g,The Hypocritical Liberal Media EXPOSED
kYhxGdlG3AU,The Problem with My Generation
5C2DLJTxPO0,Angry Laci Green Cries about Trump!
R8QaTBoSV4c,The WORST Feminist Ever - Zarna Joshi
i9s8HiA_YI8,TRUMP PROTESTS! Liberal Hypocrisy Exposed
SIlYFBQfDfk,Triggered by Trump - Election Reaction!
VeiCBYgCYY4,SJW FAIL - Mispronouncing Someone's Name is Racist!
e_4xrdydhnY,I WAS HACKED - But Now I'm Back!
T77FTjZg0Q4,The DUMBEST Hillary Supporter - Casey Neistat Response
xgDastbg4HI,Triggered Liberal Totally FAILS - JaclynGlenn Response
7o6JhW9xqa8,Pepe the Frog is a RACIST SYMBOL
ubU-q7eZYy0,Racist Black Man Does 'WHITE FACE'
yxSJkC6v4z4,Why I Hate Buzzfeed
FmSyWdT155g,Why I Love Donald Trump
xCkd9uf7QdM,The Problem with Hillary Clinton
fxuPlx2hDh0,"Silly Trans Men Explain ""Male Privilege"""
cuJJowJikdk,The Problem with Abortion
zisaD51Cg_4,HOW MUCH OF A FEMINIST AM I? (Buzzfeed Quiz)
QDQitLpxg54,Dumb America
9OpYHE5dFII,The Problem with 'Black Lives Matter' Movement
vGwmuioKmo4,The Truth about Gun Control
jz4vVpZSTJk,Cringy Onision FAILS at Feminism
hHKgPSMMCCo,Checking My Privilege!
u0-HODDU-FU,Lying Feminists Explain Why We Need Feminism
KSy-EoPYc6g,How to Check Your White Privilege
GDIb40Ug4HA,Angry Racist Won't Talk to White People
U4g0K7NrLuo,Feminist Throws Fit over 'Sexist' Kids Toys
2ANwxDFgW9E,Liberal College Kids are the Biggest Babies
7TmpexTzyMI,How to be a Social Justice Warrior
L_bVR7FyVEg,Feminist Lies About Everything
xlMGvVEnDXU,Coming Out (The Truth about my Sexuality)
I4dxmQRe-T0,My Beef with Vegans
QXrwIItYL8Y,Feminist Video Bashes Men
nSDKc69s7T0,A DAY IN THE LIFE OF HILLARY CLINTON
dKerIxzcwfk,Why You Should Vote for Bernie Sanders
sbbyJhj2z7s,READING HATE COMMENTS (2015)
dWkXlZMJWMs,How to be Politically Correct
EdwPhvAIHU0,The Problem With PARENTS
vEBgA3PGWhY,The Problem With GUYS
uCR-IeIPXDk,Straight Outta Tumblr
8JYh-3AkVTE,How To Be a Liberal
r36mY-mnQNs,WHO'S THE PLUMBER
GwOmDa2NTOk,Types of EATERS
Wlvsaoe1W9A,My Biggest Problems with Every Day Life
v_G_9X_e56o,Worst Places to go on a First Date!
