id,title
Znf-oHPzQOc,UNREAL: Media Puts Off Hunter Biden Investigation Until After The Election
mCUGMWExksc,Shocking Viral Video Alleges Voter Fraud in Georgia
-c1HZP7h2zE,The Feds Investigate Hunter Biden | Ep. 1154
fYe33KzSpt4,BOMBSHELL: Alleged Chinese Spy Got So Close to Eric Swalwell That the FBI Had to Intervene
z3ju0269lHQ,The Spy Who Shagged Swalwell | Ep. 1153
ct-S6QRfM3o,Hollywood Sneers at Non-Leftists
JFifAR8KU9k,They’re Sneering At You | Ep. 1152
TPVwt7eUiDE,INSANE: Oregon Teacher LOSES IT At Anti-Lockdown Rally
Ih5qRCzUVPE,It’s All About Georgia | Ep. 1151
zRgrBtADM3k,J.D. Vance | The Ben Shapiro Show Sunday Special Ep. 109
12ChbJqcv-g,Why Hollywood Elites Rejected ‘Hillbilly Elegy’
Lfck5I05zn8,AOC Releases a Set of Expensive T-Shirts to Decry Capitalism
W5Rm3GMj7ig,Biden Ain’t All There | Ep. 1150
AxmmaRurWZ0,James O'Keefe's Takeaways From Listening to CNN's Editorial Meetings for 2 Months
PjbUB8GxKPQ,HYPOCRISY: Dems IGNORE Their Own Covid Rules While Calling For More Lockdowns
vW4ZzVcKxOM,Freedom For Me But Not For Thee  | Ep. 1149
c955VGozAos,Actress Ellen Page Declares She is a Man Named Elliot
ohbTCJdG3SU,Why Americans Have Election Trust Issues | Ep. 1148
DWEC9NcqBjA,The World Rejoices After a Woman Plays in a College Football Game
sjLQ_n6cY_A,When Ladies Play Football | Ep. 1147
w6SP8uZiITI,Biden Announces All-Female WH Press Team; Media Eats It Up
4G2HxUmdc7g,Joe Biden's Disconnect From Reality | Ep. 1146
jVt_O5I98_Q,Ben Shapiro DESTROYS a Thanksgiving Turkey With Facts and Logic
5loHm4XoHqw,HYPOCRITES: Every Democrat Politician Who Has Violated THEIR OWN COVID Lockdown Rules
-qMSkxIbGeM,The Establishment Media's Attack On Social Media Platforms
82kIiVEqihc,The Media Can’t Wait To Kiss Biden’s Ass | Ep. 1145
U_abytnTsBI,INSANE: Cuomo Says a Police Officer is a Dictator if They Don't Enforce His Covid Rules
Jp3MNKTlRHE,The Swamp Is Back: Biden Forms His Team | Ep. 1144
72wPLShgzmI,The Media INSIST They Are Credible After Destroying Their Own Credibility
alYs4owc76s,Abigail Shrier Responds to the Push to Censor Her Book
e4lqX8J47q0,The Influence of Politics within Gender Science w/Abigail Shrier
GLnRfHyn1NA,Will The Kraken Be Released? | Ep. 1143
9uSlmfp7euo,Abigail Shrier | The Ben Shapiro Show Sunday Special Ep. 108
3YJd-JRVtH0,UNHINGED Journalists Yell at VP Pence After Press Conference
bDDuHq4mALU,The Kraken | Ep. 1142
QCIx2hcFC4g,UNREAL: Andrew Cuomo LOSES IT After a Reporter Asks About New York's Incoherent COVID Policy
xYFkqYe1FLc,New York Times Reports On Study That Finds Masks Do Not Protect Wearers
uQjJP8cs_lI,The Great Reset | Ep. 1141
Te3hClRpyH4,Facebook and Twitter Get GRILLED by Congress (Again)
BImwrQi8KnE,The Election Confusion Continues | Ep. 1140
qO7gk7dz0_Y,Here’s Why Candace Owens And I Trended On Twitter Yesterday
3pUlUey50Gg,The Attack on Masculinity | Ep. 1139
QN3eh3B4bRY,UNREAL: Far-Left Extremists Attack Trump Supporters in Washington D.C.
wJ0dPvOS6y8,A Close Look at Far-Left Extremist Groups w/Tim Pool
WRwVp40DKas,"So, When Does All The Unity And Healing Break Out? | Ep. 1138"
TOwvr-YpU1g,Tim Pool | The Ben Shapiro Show Sunday Special Ep. 107
3hOyi75x8Sw,The Most Ridiculous Children's Book Ever Written
VDH5uhXerYY,Barack Obama Releases a 768 Page Memoir
kGGPTdu3Nqs,The Wonderfully Self-Flattering World Of Barack Obama | Ep. 1137
ADypaaYJJpk,INSANE: Democrat Jim Clyburn Compares Trump To Hitler
spNexLqgda0,Who Really Rigged the Election? | Ep. 1136
ZT1YcEVXEj8,The Democrats' Calls For Unity Aren't Fooling Anyone
4rW8hbNJG-g,Fox News CUTS OFF Kayleigh McEnany Press Conference
j2Et9v4vxkc,The Hysterical Media Are The Problem | Ep. 1135
pCL9hCMCHis,Whoopi Goldberg To GOP: ‘Suck It Up’ And Accept Election Results ‘Like We Sucked It Up’ In 2016
Oj757qYrXx8,This Poll Exposes the Democrats' Hypocrisy on Accepting Election Results
2lGQTyBrJFU,The Election Is Only Over When It’s Over | Ep. 1134
A1aecIq3670,"Joe Biden Delivers TONE-DEAF ""Unity"" Speech"
Liv2mwH1bvQ,Biden Calls For Unity As Other Democrats Call For REVENGE
CsviX8FFbeo,Media Networks Declare Joe Biden the Winner of the 2020 Election
GDnr79izdgQ,The Fight is Just Beginning | Ep. 1133
Kbx2LnmNW9s,The Future of the Republican Party
ZTPeexYYHU4,Victor Davis Hanson | The Ben Shapiro Show Sunday Special Ep. 106
RkBWVpdhxzk,The Blue Wave That Wasn't | Presidential Election 2020 Updates
KKWLIdMv9s8,"Trump Campaign Files Suit Against Nevada For Alleged Nonresident, Dead Vote"
MW63gVirPNs,ELECTION 2020: Trump Campaign Scores Another Win In Pennsylvania Court
-cgU3FFBwiI,2020 Presidential Election Remains Too Close To Call
042aUnbJysA,Ep. 1132 - The Coming Democratic Collapse
Lk2iGxcFzP0,Twitter Censors @Matt Walsh After Trump Agrees With Message; Conservatives Sound Off
pX9jTuN11yQ,"Here Are the Latest Election Updates From Pennsylvania, Georgia, and Arizona"
fqKhVzdXiEY,The Battle For Arizona Remains Close Despite Fox News' Early Call
oPWbaahtZd0,It’s Not Over Yet | Ep. 1131
j1uMjUcsWsk,Reacting to Joe Biden's Post-Election Day Speech
HKTsYH5X51U,INSANE: Media Claims Cubans Are No Longer Latino
0F-hoDs9ucM,The Chaos Continues | 2020 Presidential Election Updates
avSlpWsCuBs,2020 Election Update: Who is Favored to Win?
p27gXwuyvxk,"So, Who Won? | Ep. 1130"
scUrBuvhOQA,Election Day 2020 Is HERE | Ep. 1129
bdzBalc1uVs,Pollster Who Correctly Predicted 2016 Discusses the 2020 Election
CyGGy5v8jxg,One More Day: Assessing The Final State Of The 2020 Race
qMdQ49IcL04,Tomorrow’s The Election | Ep. 1128
iz8n-Cf1kuY,The Real Fragility of Woke White People
Mb7lNGRrp4M,How the Great Society Failed America
QR6lfDS5SMU,Shelby Steele | The Ben Shapiro Show Sunday Special Ep. 105
9YllZFdPi20,Why NO ONE Should Vote For Joe Biden
flmpEtBNF8U,Don Lemon: ‘I Had To Get Rid Of’ Trump Supporters In My Life
Ss2N8XF0wYk,Four Days To Glory | Ep. 1127
FcQRWgxCYdE,Recapping President Trump's First-Term Accomplishments
tNRFsbAAIaM,Media Push FALSE Narrative as Violence Continues in Philadelphia
46YJtBraRbw,Twitter’s Repulsive Censorship | Ep. 1126
AE5V7WxczZ4,McConnell Releases Ad Slamming Dems As BRUTAL Riots Hit Philadelphia
bRpApx5lnd4,LOL: The Lincoln Project Releases The Funniest Ad I Have Ever Seen
kFDOeI40bbo,The Case Against Joe Biden | Ep. 1125
VqOwFmBm4G8,Riots ERUPT In Philadelphia After Police Shoot Man Armed With Knife
g05_Oxxczh0,Amy Coney Barrett Joins the U.S. Supreme Court; Democrats Completely Lose It
43XqkELUnT4,Grin And Barrett | Ep. 1124
02VsfhVUBD4,YIKES: Joe Biden Says He's Running Against ‘Four More Years Of George’
l_9krfJxkqY,California Governor Gavin Newsom Rolls Out INSANE Thanksgiving Restrictions
bieITmRyI-Q,Using Covid To Take Down Trump | Ep. 1123
hI71mfpEzHY,What Is It Like Working for President Trump?
Z_VetG7fgH8,Jared Kushner on Criminal Justice Reform in the Trump Administration
jtIA953Pvuc,Jared Kushner | The Ben Shapiro Show Sunday Special Ep. 104
Xfh4CyK_8Bk,I Have A Secret Talent...2 Truths and 1 Lie (w/@Michael Knowles)
33wExgstydk,The 5 Most Important Moments From Last Night’s Debate
SvalbyVJBvA,Trump Shows Up To Play — Final Debate Breakdown
sUyNNTWQH5A,Senate Democrats Boycott ACB Committee Vote
cGOLl-BbxUY,The Final Debate: Trump’s Big Comeback | Ep. 1122
XMgcsYZPZZY,Obama Hits The Campaign Trail For Joe Biden
bMx4z-6OEhM,Sen. Ted Cruz: Democrats Are “Deadly Serious” About Packing the Supreme Court
3i-t3SHNtS0,The Hunter Biden Bombshell Drops | Ep. 1121
5SUVtt4zXJU,Robert Downey Jr. Stands Up For Chris Pratt
s6irRVRtfwE,The Cult Of Trump Hatred | Ep. 1120
qEVwMcGoY1g,John Roberts Sides With Liberals: SCOTUS Allows PA To Accept Ballots Three Days Late
HvdZSVlCyt4,Commission On Presidential Debates Announces Changes For Upcoming Debate
tjJGmwtKuZc,The Media Pleasure Themselves | Ep. 1119
8zTi8kK7S8Q,Trump Supporters ATTACKED For Being Trump Supporters
Y7Xj3tYFKks,I didn’t vote for Trump in 2016. I am in 2020 — here's why.
4MSj6E-PpHA,Why To Vote For Trump | Ep. 1118
sxUUzaCM8Pg,Megyn Kelly on Media Bias and Objective News
iYyQrmDGhL0,Megyn Kelly | The Ben Shapiro Show Sunday Special Ep. 103
slolN8R2qSU,Recapping Amy Coney Barrett’s Supreme Court Confirmation Hearing
sV-kTseXD34,"Reacting to Demi Lovato's New Song, 'Commander in Chief'"
YD6sFtm765k,Savannah Guthrie -- Town Hall Host or Trump's Debate Opponent?
lFJAYoyt5y4,"Joe Biden Town Hall Recap: Court-Packing, Transgenderism, Police Reform"
gJt43y_yHg0,LOL: Woke Celebrities Sign Petition in 'Protest' of Trump’s Town Hall
0zNAHGE5dmI,Dueling Town Halls | Ep. 1117
XjHr3S59XXU,Facebook and Twitter Just Ushered In The Most Dangerous Political Moment In Memory | Ep. 1116
pznC8t5n6ls,LOL: Nancy Pelosi Has Complete MELTDOWN On CNN
WyT-bKhKio4,ACB DEVASTATES Ill-Prepared Democrats During Senate Hearings
7GHgSzKcUwI,ACB Wrecks The Democrats | Ep. 1115
InGGJYbWYzQ,Democrats MELT DOWN As ACB's Nomination Cruises Through
XWouW_pR99s,LOL: Biden Says He's Running for Senate; FORGETS Mitt Romney's Name
PK1BzSXA4NU,EXPOSED: Experiencing Hollywood's Leftist Bias
wTpNl-Nw_LM,It’s Easy As ACB | Ep. 1114
getr1sPpOBw,"UNREAL: Biden and the Media Team Up to Redefine ""Court-Packing"""
MzVXEeNKo9U,Democrats Declare Anything They Don’t Like Court-Packing | Ep. 1113
JO2tTUkMLuI,How The Daily Wire Got Its Start
O7VAfKFq14I,Jeremy Boreing | The Ben Shapiro Show Sunday Special Ep. 102
NRqI0eqZMzg,UNACCEPTABLE: Joe Biden Refuses to Answer Questions on Court-Packing
WUEooTvzcG4,Biden Is The Mystery Meat | Ep. 1112
O2v3n33b_A0,Mike Pence DISMANTLES Kamala Harris in VP Debate
dKZ3Pd95kC0,Breaking Down the Media's INSANE Response to the VP Debate
_j1mM_RBXBc,Pence Wrecks Harris | Ep. 1111
CHPPKeq40xM,FLASHBACK: Kamala Harris' WORST Moments on the Campaign Trail
I6Z_MnAHQW8,YIKES: 'Former Staff' Allegedly HIJACK Katie Hill's Twitter Account After Hollywood Film Announced
rnGOzHgQtAI,Remember Who Becomes President If Trump Loses | Ep. 1110
vZl0lZaq2vY,Trump Returns To The White House | Ep. 1109
yhOx8b1XAAo,Trump Waves to Supporters in Drive-By Greeting Near Hospital
USD9HbKa-u8,The Covid Botchery | Ep. 1108
JbYVMqbPUok,Jon Voight Gives Gives His Thoughts on My Speech Events
4Tth-sZcIBM,Jon Voight Discusses The Influence Of The Hollywood Left
PKzKtYqZlvE,Jon Voight | The Ben Shapiro Show Sunday Special Ep. 101
qUHPfHqbVLk,5 Reasons No One Should Live In California
sGPoGz3Oj6M,Don Lemon Pushes LIE That Trump Called Covid-19 A Hoax
Aozdgpiv_t8,President Trump And First Lady Melania Test Positive For Covid
4lS_eQQoAWY,Trump Has Covid | Ep. 1107
85DQpmlRkMo,Media Push Narrative That Trump Is Soft on White Supremacy
Oek3M5lB5cg,James Comey Pushes WILD Conspiracy Theories in Congressional Hearing
_CmRUla72ZE,Megyn Kelly: “People are terrified to say that they like Donald Trump right now”
HQKpeE-2R0A,The Radioactive Debate Fallout | Ep. 1106
nxTRYzqoNqU,Chris Wallace's AWFUL Moderating During the Debate
MNYvisUI9sw,The Media and Biden Push HUGE Lie From Debate
AGQOnCQ3hf8,The Big Debate: LOUD NOISES | Ep. 1105
tzHNpFEfCQo,The NYT Puts Out A Late Hit On Trump’s Taxes
kHYRXJk873s,Are You Ready To Fumble? | Ep. 1104
GynUCZXJ2QM,Sarah Sanders | The Ben Shapiro Show Sunday Special Ep. 100
Pa3Os35r5TE,THIS Is How Democrats Are Threatening The U.S. Constitution
EGNKfLSnu8U,Protesters Go Full Mad Max in Downtown LA
NzCgSdYGYrA,The Plot To Destroy America | Ep. 1103
BKuvVMYcP1U,Giving Dating and Relationship Advice to Fans!
gXe-UFVtKx4,Another City Burns | Ep. 1102
h9G9Y3pJO6I,Jim Caviezel on Christian Persecution in the Middle East and Being a Christian in Hollywood
Xd1UHCav3Ck,The Golden Calf Of Politics | Ep. 1101
8Twq3OLqC0U,Republicans Roll Forward | Ep. 1100
TkBYYVJwNI4,Supreme Court Apocalypse | Ep. 1099
0tYV90HH2bE,Matthew Yglesias | The Ben Shapiro Show Sunday Special Ep. 99
ymD9ipSm-eg,4 Reasons Lockdowns Should End TODAY
mW6XefahQFk,Teaching American Kids That America Doesn’t Suck | Ep. 1098
Pt_XJv-vYCw,The Lies Of The Fact-Checkers | Ep. 1097
u978w4CurDk,Why I'm Leaving California.
U3KMPrpTyh8,Peace Is Breaking Out All Over | Ep. 1096
yxzViUl41lA,"Liar, Liar, Pants On Wildfire | Ep. 1095"
d-rxPONiNqE,The Results Of Calling America ‘Systemically Racist’ | Ep. 1094
T9tNLXa4PD0,Dan Bongino | The Ben Shapiro Show Sunday Special Ep. 98
NgiGTfqFSuU,The Strategy Is Failure | Ep. 1093
