id,title
UspdphbJAvI,How Google Censors You
U61fEjc-5c8,Policing's Mental Health Crisis
prSJDnh2Gsg,"If You Don't Raise Your Kids, Someone Else Will"
F0Vx6gS2vAE,The Subversion of America & The US Election
7oXLr-Muru8,CROSSFIRE 2020 TEASER
-1yxVAGK-YQ,CROSSFIRE: Documentary Announcement
2YhyNqXWqiU,"Why I left, and why I’m back."
ZQ_fz9EW5Iw,Borderless (2019) | Official Documentary
0dchTo4yZaU,A Human Trafficker Explains the Business
63xS4qDieKw,UNDERCOVER: Exposing NGO Smugglers in Greece
7iMMELu1LHY,Atheists & Christians under Attack in Refugee Camps
e1119c5ZRZY,Borderless Official Trailer (2019)
UlM-bkGg08I,Changing My Mind On Immigration - My EU Speech
K4XhLiiu0is,UNDERCOVER: Cheating the Asylum Application System
AFgD8os8VhU,Sneak Peek: BORDERLESS
PxfUW6tqrhc,My New Documentary
WDJFJ4gr8jY,A New Direction
x9MgCE933w8,The Truth About Lakemba
LqY4Z1fTrMc,Thrown Out Of Sydney No Go Zone
aQrnH20sVHk,SHOULD WE KILL LAUREN SOUTHERN?
eCv1glJx5b4,Lauren Southern vs Larken Rose - Open Borders
_WppMC8jgFE,Vindicated! Europe Stops Migrant Boats.
a_bDc7FfItk,FARMLANDS (2018) | Official Documentary
sl2--OHvxK4,"Aleksandr Dugin on Millennials, Modernity and Religion"
A7DdSe7WgNw,Dugin on How Liberalism Undermines Collective Identity (Part 2)
p6J8thZwzKc,Dugin on Millennial's & the Future of Conservatism (Part 1)
8nzUMsN0l58,Who is Aleksandr Dugin?
I2f3MRQiyFo,The Identity Politics of Turning Point USA
JQ-YDYL-zzs,5 Cures For Nihilism
CkybKQFzvJM,My Hypocrisy on Borders and Immigrants?
L1KBpNyL1f4,The Truth About Ali Dawah
5NUYeED-ZAQ,#FARMLANDS Q&A Livestream #2
mwH-sw_Z_i8,#FARMLANDS South Africa Documentary Q&A
odGiYJdFtE0,European Parliament on Right-Wingers Banned From UK
UZ7o1cxqBPU,The Men Preparing for Civil War in South Africa
3c1eBNKmWls,Why The Media Hates Talking about South Africa
odFnOOfkYCs,South Africa is Killing the Farmlands
Jq0GReiZyKc,Inside South Africa's White Displacement Camps
k8-G9hMY-qk,Land or Death: Mandela's Failed Rainbow Nation
IMOmQJCtTek,South African Wives are Living in Constant Fear
MEDIeBUAEVk,South Africans Live in a Dangerous Gated World
ONs1gpwkCrk,TRAILER: South Africa Documentary
WCLJRVbaMyQ,The Reality of South African Farm Murders
f4cC3x5GUl8,South Africa - Why White People?
TcNtdHOPfMM,South Africa's Farm Murders: Jeanine's Story
U6f8dajW4HA,What To Expect in 2018
hVoY6So9B5E,The Nazi Pug Trial Finale
DmaEImIB-KA,A Christmas Message from Lauren Southern
tiuljvoDifk,Talking to a Real Life Gay
0Ssvqaf3gdw,Why Big Government Is At War With The Family
PZHuFah0uds,Asking Feminists: Women's Rights or Islam?
flRELYUqmUE,A London Mosque Called The Police On Me
P-UKPpmQlys,Why I'm Not Married
IhdDJQKZ4UI,How To Be Single
D_AnHRnTszk,City Women VS Marriage & Kids
hsGO1bI9q_U,The Imminent Digital Exile
legsfT0DH0U,The Governments War on Culture & Community
lOwF0hDrHS4,Saving Pigeons w/ Black Pigeon Speaks
d35KqVLvZrM,Millennials are Being Set Up for Loneliness
7CrCp6UKYVs,The Fear That Protects The Wicked
zxgW4HfMos4,"ACCORDING TO ""SCIENCE"" - Don't Have Kids?"
slDjxJMWJn4,Politicizing Tragedy
rimtKVZlnKs,America's Downfall: Divide and Conquer
5GCEkz5wd3w,"Berkeley ""Free Speech Week"""
k62vV8YiyLM,The UK's Minority Report Censorship Plan
ZCV3zPXrygg,Ben Shapiro UC Berkeley
DLUMINLTNLE,"ACCORDING TO ""SCIENCE"""
tRV8GCvzUf8,The Problem With Libertarians
r2Q87dI0H5s,Why ReasonTV Is VERY Unreasonable
OfPB9VcPkfY,INSIDE CANADA'S ILLEGAL MIGRANT CRISIS
1kqlu_6q5rw,The Absolute State of Canada
2_le9zYd6VM,Communism: A Reality Check
QqeQ1F5Ei-k,Say Goodbye To Your History
J5OA48C3dg4,Escapism: Our Brave New World
r7IEupSNQBU,Manufactured Heroes
H-CR4jRNlZI,"Challenging Your ""Masters"""
rtImwK5TI4g,PATREON BANNED MY ACCOUNT??
G8LGX8o2fw8,Paris Train Station Overwhelmed With Migrants
Z1Js8wntdk4,The Streets of Paris
bBcFfWvexQg,"The Consequences of ""Trading Up"""
Io3VpyL4RoE,Getting Stalked at #G20
_G38KvzBV88,Styxhexenhammer666 Chat: The Future of The Right
T3o6dIzCDEI,Sargon of Akkad Response: Journalism vs Activism
zT2Y78TwCrw,WTF I'M GAY NOW?! (+Pics)
4Pp-0GcRVKg,The War on Fathers
t0f6tDoP5Fw,The Progression of Extremism
LE5AyRPZK8Q,I Was Wrong About Identity Politics?
G1JtJLRuqgo,What is Crypto-Currency?
vvTdEzw8upQ,We Let Hate Win. #London
758_eiHzZqE,STORY TIME: No-Go Zones
oxHIftZVfrQ,What Every Girl Needs To Hear
33T2WIo9AjE,Police vs Protesters Paris #MayDay
54DltnHjwHQ,The Destruction of History
8tssRz0TigM,Let Us Help You Identify Fake News
cSMz0pcrM18,BATTLE FOR BERKELEY
MMCi5jCSQYk,Traditionalism vs Freedom
AKxq184qmtk,I'm Going To Berkeley
oSe09SGLJfA,Why We'll Forget About London
hmSSgtBe-CE,I GOT WHITE HOUSE PRESS ACCESS?!
18ZRJ0D6zPE,Going Independent
Dh8H6tOQh10,Responding to Thunderf00t
6LdmBqJLYcU,SJW BERATES LYFT DRIVER
yZntyiqpWKw,Cuckada
ozZS4sQkKj4,Trent Students Don't Know The Definition Of Violence
