id,title
kRSP7IPE9WE,#CancelSuperThursday
aOsathrxKpE,"""Rules For Thee... But Not For Me!"" - VOLUME TWO"
xwCIQuehPBk,"""Rules For Thee... But Not For Me!"" - VOLUME ONE"
nyK0oAQTQD8,President Trump Said Something Stupid & It’s Kind of My Fault!
5aLsLVIkrYo,Could Joe Biden Cancel Student Loan Debt?
DqoV_F_5Bh0,The Georgia Runoff Election BATTLE ROYALE!! (Part One)
MEkvonMWCWo,What Happens Next?!? (Some Predictions)
hfzO7U6uIqI,"""Joey"" The Story of Joe Biden - Worst Children's Book EVER!"
OoeFFx6Ugcs,WELP...
cN1DlyG_A_s,"Joe Biden's TOP 50 Bloopers, Blunders, & Gaffes: 2020 Election Edition"
VQaWJEd3lw8,"Alexandria Ocasio-Cortez: ""Award"" Winner! (UPDATE)"
WzY-qWOOn10,Fact-Checking Joe Biden: (Final Debate Edition)
MeFbx-_1_Vo,Joe Biden's Final Town Hall: An Analysis
alY9W8GBA_Q,EVERYTHING IS STUPID!!
QWxCFL60QqY,Joe Biden Keeps Touching His Mask and Face (World Record)
KuozMbvdP38,Will Joe Biden Pack The Supreme Court? (An Analysis)
3ejuMA9cxU8,Talking to California Voters About Trump & Biden
kitpQ-BrGbk,Will Joe Biden Put An End to Gas and Oil Drilling? (An Analysis)
YgpNI2FOBrk,Does Joe Biden Use a Teleprompter to Answer Questions?
D6-4oBO4zS0,Joe Biden: The Most Empathetic Presidential Candidate EVER!!
4jTf3CMbHrk,The Press vs Trump: Volume Three (The Charlottesville Lie)
Fkef00Ldmug,Joe Biden: Man of Science!
305xzv3PqTU,"Joe Biden Picks Kamala Harris; Makes ""HERstory"""
uRmEMq0sUjY,Joe Biden and the Curious Case of the Cognitive Test
OzQfxAwvO7c,JOE BIDEN'S JULY 2020: (An Analysis)
kO7OoFE0goY,"$150,000 in Student Debt...For USELESS Law Degree!"
jXmQOpLa4DI,Democrats Want Washington D.C. to Be a State
wQPAYwFViP8,Alexandria Ocasio-Cortez VS. Bread: The Analysis
zXOn5chiIEI,Is CNN Playing Games with Poll Results?! (DUH!!) (UPDATED)
irocQ9jMOhw,JOE BIDEN'S JUNE 2020: (An Analysis)
nzBdBj5QWyY,"Joe Biden's Bloopers, Blunders, and Gaffes: The TOP 30 Countdown!"
HZ9pLCIgQek,Fast Facts with Joe Biden!!
lH93ZGo5_Co,The Press vs. Trump: Volume Two
FXMnUD9Gdqc,Just an EPIC Thursday Livestream (NOT Animal Crossing)
uWdhNC4aYjE,"Don't Walk, RUN! Livestream"
Liucmw7Z2As,Alexandria Ocasio-Cortez: Award Winner
djvvYqDQw6A,AOC vs. MCC: Ocasio-Cortez Faces Challenger in Debate
T5-mpVFoDJc,Andrew Did an Oopsie! (Trump Inauguration Edition)
U1zFGeKpPTc,CNN's Brian Stelter vs. Reality: Vol. One (Bonus Video)
2EI6NzCw0JE,The Press vs. The Trump Administration: Volume One
pdUbOekBJ7s,Joe Biden's 'Virtual Rally' Was a Real Disaster!
OAxCbPc6fYA,Joe Biden Has Nothing to Hide (Except His Past Record)
1nLlsBdkUHM,Who Will Joe Biden Choose For VP?
hbE1Lx_MDMM,"Tweets, Lies, and Videotape: Featuring AOC and Rashida Tlaib"
Yw1XExjkUNw,Bernie Sanders Presidential Run: The Definitive Analysis
8YbQCWT0NjQ,The Government's Mass Confusion Over Mask Confusion!
Y_yb1MudLUo,Alexandria Ocasio-Cortez: Drama Queen!
thkP6RaKvBQ,The Most Important Thing You Can Do RIGHT NOW!
8LKYZP19wLM,MORE of New York's No Bail Fail!
fFNx8cn3hc4,New York's No Bail Fail!
6Xj2iZ13JAo,Elizabeth Warren 2020: The Definitive Analysis
3QpKHMuMa48,SUPER TUESDAY: The Livestream
uBPj38kli7k,The Tenth Democratic Presidential Debate: An Analysis
RSaoPg1BTvA,Bloomberg's Democratic Debate Debut: An Analysis
01xl0Nz2Ypo,Alexandria Ocasio-Cortez: Party Pooper!
DnjKt2CThO0,Andrew Yang Is Gone... So Let's Watch the NH Primary Results
fKcLkVu6dGU,Did the DNC Change the Rules for Mike Bloomberg?
gs8GCG9rcSQ,"Don't Walk, RUN! - State of the Union / Iowa Caucus Chaos"
eJ2ZjYFb_rY,Voter Suppression Vs. Reality
FzfZ1vnky5Y,Responding to #YangGang Comments - A.K.A. The Very Last Andrew Yang Video!!
sdWjlq4qaGg,Elizabeth Warren Vs. Bernie Sanders: The Definitive Analysis
nlQ0Wa8kT-M,ANDREW YANG VS. REALITY
kRf-Ful-wO0,Rise of the Robot Chefs: Will Automation Reduce Fast Food Jobs?
rNpbWUKy80g,The Sixth Democratic Presidential Debate: An Analysis
Vqpqs9e7lGw,Debunking Buzzfeed's 'People Try To Live Without Black Inventions'
7Ab-hyOLPS8,The Kamala Harris Presidential Run: The Definitive Analysis
_T9eNYm_cg4,Who Remains In The Democratic Presidential Race?
-F3zV9CvPuk,The Fifth Democratic Presidential Debate: An Analysis (Part Two)
1BUi_4kxcK4,"Don't Walk, RUN! Livestream for November"
IoEEoJ0-6Vg,The Fifth Democratic Presidential Debate: An Analysis (Part One)
LTuW5a2FFQU,Julian Castro Takes a Big Dump On Iowa and New Hampshire!
8M6j-nZfIJ8,"Full Interview with Franco (""Recession or Trump"" episode)"
_uZEtTpxFyg,Could Bernie Sanders Make AOC His Vice President?!?
Nd3LjBC8HJc,Democrat Congresswoman Triggered By Trump Administration!
cYZh7Qi9gHo,Tulsi Gabbard vs. Hillary Clinton and the Corporate Media
RacPA9JUgs4,The Fourth Democratic Debate: A Brief Analysis
cY3CTKlI7KA,ABC World News Tonight Did An Oopsie!
bJNws8XOAKQ,Rise of the Robot Trucks?!? - Exploring Andrew Yang's Automation Claims
XV1U-O6w5JI,AOC's 'A Just Society': An Analysis
v4VHnQzsf5Q,"Don't Walk, RUN! Livestream for September #wanggang"
ObgdljTT8gk,AJ+'s Newsbroke Is Newswoke!
Z-vlsoC7Jmw,The Third Democratic Debate: An Analysis
XN4deDvDv90,Choosing Between Trump and a Recession - Man On The Street
1XFIIVScvls,Alexandria Ocasio-Cortez & Chris Hayes: Constitutional Scholars
lArZFhg6xf0,Equality Can't Wait (Because Feelings)
l3H38DUTK0o,The Mississippi Chicken Plant Raids: An Analysis
FrbF_Cj8nMk,Responding To More #YangGang Comments
CpPmUk_Df2k,"Don't Walk, RUN! - Overwatch Livestream!"
n0ioJjUvhEU,"Don't Walk, RUN! Livestream"
ejCV2RgJfBQ,Andrew Yang's Second Debate Performance and Responding to #YangGang Comments
ZFtdDieB31c,Biden vs. Harris vs. Gabbard: The Definitive Debate Analysis
fVups71obdM,Robert Mueller Testifies: Supercut
vf3W4JA4fog,The Mueller Hearings: An Analysis
qE7TPr8-Ppg,Supermarket Showdown! - The Erica Thomas Incident
NY7nsd_947U,Can Trump Stop The Border Crisis With New Asylum Rules?
t38hZVB-MFY,Was Andrew Yang's Microphone Turned Off at the Debate?!? #LetYangSpeak
cNF_AtuNx1w,The First 2020 Democratic Presidential Debate: An Analysis
pgo7iZNcjOM,The 2020 Census and the 'Citizenship Question' Fiasco
DIg3QUnhmTs,2020 Democratic Presidential Candidate Tier List
VH4IrxBnZW4,"$118,000 In Student Debt... For USELESS Drama Degree! (REUPLOAD)"
XI4UT1JvIc4,"$118,000 In Student Debt... For USELESS Drama Degree!"
yQRglbLxJuE,The VoxAdpocalypse is Upon Us: So Let's Play Overwatch! (PART 2)
zuFX8MzzN6A,The VoxAdpocalypse is Upon Us: So Let's Play Overwatch!
ajDfQ-hd3pQ,AOC and Bernie Sanders Don't Understand Math
zk2u_Enkhds,Disney Blocked My Captain Marvel Video (Because Feelings)
8kRAifuadhk,Men Are Not Allowed To Dislike Captain Marvel Extended Scene (Sorry)(Reupload)
DE-W0zSJqdI,Men Are Not Allowed To Dislike Captain Marvel Extended Scene (Sorry)
Fhqlh_Q3IFE,Subway Commuters Avoid Paying Their Fare: Caught On Hidden Camera
qZzikkFm-6M,AOC and Bernie Sanders GOING POSTAL (banking)
WUX6wC9C9_Y,Burger King Gets Woke (Again) #FeelYourWay
ZrGaidAr5bs,Pantene Gets Woke With Useless Search Tool
s7f17fGk0O8,LIVESTREAM FOR APRIL 2019
VaGNO_y5YYA,AOC’s Message From the Future: An Analysis
3FIF7WPJxks,Miscellaneous Stuff Vol. One - (Plus I Respond To Your Comments!)
qH3FT1xi8vc,The Daily Show's Pink Tax Segment: DEBUNKED
BFOgq_U_tq0,AOC's Green New Deal Town Hall: Review
m19wTVgihoo,Bernie Sanders Advocating Health Insurance Fraud?!
-JbbbuN4rmU,Keith Olbermann: SUPERCUT
OCVsRAeJPUA,THERE WAS NO COLLUSION CRAB RAVE
